počty,LCC,řaz1,řaz2,LCC-kategorie,LCC-slovní vyj.,Thema-znak,Thema-slovní vyj. ang.,Sémantická ztráta,pozn.,THEMA do záznamu (znak),THEMA do záznamu (slovně)
2,HE199.5.F8,HE,199,transportation and communication,,KNG,Transport industries,AT,,,
1,HE199.5.R3,HE,199,transportation and communication,,KNG,Transport industries,AT,,,
7,HE199.9,HE,199,transportation and communication,,KNG,Transport industries,AT,,,
13,HE199.A2,HE,199,transportation and communication,,KNG,Transport industries,AT,,,
1,HE199.A2 -- G53 2007eb,HE,199,transportation and communication,,KNG,Transport industries,AT,,,
5,HE242,HE,242,transportation and communication,,KNG,Transport industries,AT,,,
5,HE242.A15,HE,242,transportation and communication,,KNG,Transport industries,AT,,,
1,HE242.A2,HE,242,transportation and communication,,KNG,Transport industries,AT,,,
1,HE243,HE,243,transportation and communication,,KNG,Transport industries,AT,,,
1,HE247.3,HE,247,transportation and communication,,KNG,Transport industries,AT,,,
3,HE247.3.A2,HE,247,transportation and communication,,KNG,Transport industries,AT,,,
1,HE247.4,HE,247,transportation and communication,,KNG,Transport industries,AT,,,
1,HE255.7,HE,255,transportation and communication,,KNG,Transport industries,AT,,,
1,HE255.9.A15,HE,255,transportation and communication,,KNG,Transport industries,AT,,,
40,HE305,HE,305,transportation and communication,urban transportation,KNG+WGCF,"Transport industries+Buses, trams and commercial vehicles: general interest",AT,,,
1,HE308,HE,308,transportation and communication,urban transportation,KNG+WGCF,"Transport industries+Buses, trams and commercial vehicles: general interest",AT,,,
5,HE311.C94,HE,311,transportation and communication,urban transportation,KNG+WGCF,"Transport industries+Buses, trams and commercial vehicles: general interest",AT,,,
40,HE311.C942,HE,311,transportation and communication,urban transportation,KNG+WGCF,"Transport industries+Buses, trams and commercial vehicles: general interest",AT,,,
1,HE311.G7,HE,311,transportation and communication,urban transportation,KNG+WGCF,"Transport industries+Buses, trams and commercial vehicles: general interest",AT,,,
1,HE311.S563,HE,311,transportation and communication,urban transportation,KNG+WGCF,"Transport industries+Buses, trams and commercial vehicles: general interest",AT,,,
13,HE323,HE,323,transportation and communication,transportation geography,KNG,Transport industries,AT,,,
8,HE331,HE,331,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
5,HE332,HE,332,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
39,HE333,HE,333,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE336.A8,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
9,HE336.E3,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE336.E53,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE336.H48,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
6,HE336.P37,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE336.P43,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE336.S7,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
2,HE336.T68,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
11,HE336.T7,HE,336,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE355,HE,355,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE363.G29,HE,363,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE363.G3,HE,363,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
4,HE369,HE,369,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
1,HE373.C94,HE,373,transportation and communication,traffic engineering,TNH,Highway and traffic engineering,EQB,,,
7,HE381,HE,381,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
5,HE442.3,HE,442,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE526,HE,526,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
12,HE561,HE,561,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
2,HE565.A3,HE,565,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE566.W6,HE,566,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE571,HE,571,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE593,HE,593,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
2,HE617,HE,617,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
2,HE619.D2,HE,619,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE619.L3,HE,619,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
3,HE619.R4,HE,619,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
2,HE667.3.Z7,HE,667,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE675.27,HE,675,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE831,HE,831,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
2,HE832.3,HE,832,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
1,HE847,HE,847,transportation and communication,water transportation,KNG+WGG,Transport industries+Ships and boats: general interest,AT,,,
4,HE1001,HE,1001,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
16,HE1031,HE,1031,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE1050,HE,1050,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE1051,HE,1051,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
2,HE1621,HE,1621,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE1779,HE,1779,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
2,HE1783.S56,HE,1783,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE1821,HE,1821,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
4,HE1887.3,HE,1887,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
7,HE2231,HE,2231,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE2241,HE,2241,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE2271,HE,2271,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE2301,HE,2301,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
3,HE2442.C9,HE,2442,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE2763,HE,2763,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3008,HE,3008,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
2,HE3018,HE,3018,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3055,HE,3055,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3059.3,HE,3059,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
2,HE3059.3.A38,HE,3059,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3059.3.D68,HE,3059,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3059.3.N87,HE,3059,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3059.3.P63,HE,3059,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE3075,HE,3075,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
2,HE3834.3.Z95,HE,3834,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE4071.A47,HE,4071,transportation and communication,railroads,KNG+WGF,Transport industries+Trains and railways: general interest,AT,,,
1,HE4211,HE,4211,transportation and communication,railroads - local transit,KNG+WGFL,Transport industries+Urban rail transit systems,AT,,,
3,HE4301,HE,4301,transportation and communication,railroads - local transit,KNG+WGFL,Transport industries+Urban rail transit systems,AT,,,
1,HE4451,HE,4451,transportation and communication,railroads - local transit,KNG+WGFL,Transport industries+Urban rail transit systems,AT,,,
1,HE4834,HE,4834,transportation and communication,railroads - local transit,KNG+WGFL,Transport industries+Urban rail transit systems,AT,,,
6,HE5601,HE,5601,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5606,HE,5606,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
12,HE5611,HE,5611,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
2,HE5613.5,HE,5613,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
22,HE5614,HE,5614,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5614.5.E85,HE,5614,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
3,HE5618,HE,5618,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
2,HE5619,HE,5619,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5620.C3,HE,5620,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5620.D59,HE,5620,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5620.L5,HE,5620,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5620.S34,HE,5620,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5620.W54,HE,5620,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
2,HE5621.2,HE,5621,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
2,HE5662.9.A6,HE,5662,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5667.3.A1,HE,5667,transportation and communication,automotive transportation,KNG+WGC,Transport industries+Road and motor vehicles: general interest,AT,,,
1,HE5999.A3,HE,5999,transportation and communication,freight forwarders,TRCT,Road transport and haulage trades,AT,,,
2,HE6007,HE,6007,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE6009.C94,HE,6009,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
4,HE6015,HE,6015,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
5,HE6071,HE,6071,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE6101,HE,6101,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE6111,HE,6111,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE6183.C413,HE,6183,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
2,HE6237,HE,6237,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
4,HE6239.E54,HE,6239,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
3,HE6980.3,HE,6980,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
11,HE6980.3.A1,HE,6980,transportation and communication,postal service,KNT,"Media, entertainment, information and communication industries",BBT,,,
4,HE7551,HE,7551,transportation and communication,eletronic mail systems,KNTX,Information technology industries,BBT,,,
5,HE7603,HE,7603,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
2,HE7604,HE,7604,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE7625,HE,7625,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
9,HE7631,HE,7631,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
2,HE7645,HE,7645,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
2,HE7661,HE,7661,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
8,HE7693,HE,7693,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE7700,HE,7700,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8081,HE,8081,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
2,HE8090.5,HE,8090,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8154,HE,8154,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8689.4,HE,8689,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8689.6,HE,8689,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
2,HE8689.8,HE,8689,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8690,HE,8690,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8699.C94,HE,8699,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
4,HE8700,HE,8700,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8700.9.C94,HE,8700,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8700.9.E8,HE,8700,transportation and communication,telegraph,KNT,"Media, entertainment, information and communication industries",BBT,,,
1,HE8701,HE,8701,transportation and communication,telephone,TJKT,Telephone technology,EQS,,,
1,HE9320.E75,HE,9320,transportation and communication,telephone,TJKT,Telephone technology,EQS,,,
1,HE9713,HE,9713,transportation and communication,telephone,TJKT1,Mobile phone technology,EQS,,,
1,HE9719,HE,9719,transportation and communication,satellite,TJKS,Satellite communication technology,EQS,,,
1,HE9751,HE,9751,transportation and communication,messenger service,TRCT,Road transport and haulage trades,BT,,,
1,HE9761.1,HE,9761,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
2,HE9762,HE,9762,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
2,HE9774,HE,9774,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
7,HE9776,HE,9776,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9777.7,HE,9777,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
10,HE9780,HE,9780,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9783,HE,9783,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
2,HE9785,HE,9785,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
11,HE9788,HE,9788,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
2,HE9797,HE,9797,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9797.4.A2,HE,9797,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
2,HE9797.4.S4,HE,9797,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9797.A1,HE,9797,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9842.9.A4,HE,9842,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9847.3.A3,HE,9847,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9847.3.A8,HE,9847,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9847.3.Č73,HE,9847,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
1,HE9855.A93,HE,9855,transportation and communication,air transportation,KNG+WGM,Transport industries+Aircraft and aviation,AT,,,
3,HF1,HF,1,commerce,,KJB,Business studies: general,EQS,,,
1,HF15,HF,15,commerce,,KJB,Business studies: general,EQS,,,
3,HF17,HF,17,commerce,,KJB,Business studies: general,EQS,,,
1,HF29,HF,29,commerce,,KJB,Business studies: general,EQS,,,
1,HF37 .C94,HF,37 ,commerce,,KJB,Business studies: general,EQS,,,
3,HF37.C9,HF,37,commerce,,KJB,Business studies: general,EQS,,,
4,HF37.C94,HF,37,commerce,,KJB,Business studies: general,EQS,,,
76,HF54.5-54.56,HF,54,commerce,,KJB,Business studies: general,EQS,,,
4,HF54.56,HF,54,commerce,,KJB,Business studies: general,EQS,,,
1,HF328.C94,HF,328,commerce,boards of trade,KJR,Corporate governance: role and responsibilities of boards and directors,AT,,,
1,HF1001,HF,1001,commerce,,KJB,Business studies: general,EQS,,,
5,HF1002,HF,1002,commerce,,KJB,Business studies: general,EQS,,,
1,HF1002.5,HF,1002,commerce,,KJB,Business studies: general,EQS,,,
19,HF1008,HF,1008,commerce,,KJB,Business studies: general,EQS,,,
1,HF1016,HF,1016,commerce,,KJB,Business studies: general,EQS,,,
3,HF1017,HF,1017,commerce,,KJB,Business studies: general,EQS,,,
6,HF1025,HF,1025,commerce,commercial geography,RGCM,Economic geography,EQT,,,
3,HF1040.7,HF,1040,commerce,commodities,KJS,Sales and marketing,BBT,,,
2,HF1044.C94,HF,1044,commerce,commodities,KJS,Sales and marketing,BBT,,,
2,HF1051,HF,1051,commerce,commodities,KJS,Sales and marketing,BBT,,,
1,HF1359,HF,1359,commerce,international economic relations,KJK,International business,EQS,,,
1,HF1365,HF,1365,commerce,international economic relations,KJK,International business,EQS,,,
2,HF1371,HF,1371,commerce,international economic relations,KJK,International business,EQS,,,
7,HF1379,HF,1379,commerce,international economic relations,KJK,International business,EQS,,,
1,HF1385,HF,1385,commerce,international economic relations,KJK,International business,EQS,,,
8,HF1410,HF,1410,commerce,international economic relations,KJK,International business,EQS,,,
9,HF1411,HF,1411,commerce,international economic relations,KJK,International business,EQS,,,
1,HF1414,HF,1414,commerce,international economic relations,KJK,International business,EQS,,,
6,HF1416,HF,1416,commerce,international economic relations,KJK,International business,EQS,,,
2,HF1416.6.C94,HF,1416,commerce,international economic relations,KJK,International business,EQS,,,
2,HF1418.5,HF,1418,commerce,international economic relations,KJK,International business,EQS,,,
1,HF1531.A1,HF,1531,commerce,international economic relations,KJK,International business,EQS,,,
3,HF1542.3,HF,1542,commerce,international economic relations,KJK,International business,EQS,,,
1,HF1586.5,HF,1586,commerce,international economic relations,KJK,International business,EQS,,,
1,HF2036,HF,2036,commerce,tariff,KCLT,International trade and commerce,BT,,,
3,HF3001,HF,3001,commerce,by region,KJB,Business studies: general,EQS,,,
162,HF3494,HF,3494,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3500.5.A1,HF,3500,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3500.5.Z5,HF,3500,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3500.7.A1,HF,3500,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3500.7.Z7,HF,3500,commerce,by region,KJB,Business studies: general,EQS,,,
3,HF3550.3,HF,3550,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3550.3.A1,HF,3550,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3550.3.A45,HF,3550,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3550.5,HF,3550,commerce,by region,KJB,Business studies: general,EQS,,,
2,HF3561,HF,3561,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3564,HF,3564,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3570.5.A1,HF,3570,commerce,by region,KJB,Business studies: general,EQS,,,
13,HF3621,HF,3621,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF3636,HF,3636,commerce,by region,KJB,Business studies: general,EQS,,,
1,HF4999.2-6182,HF,4999,commerce,business,KJB,Business studies: general,EQS,,,
5,HF5001,HF,5001,commerce,business,KJB,Business studies: general,EQS,,,
1,HF5350,HF,5350,commerce,business,KJB,Business studies: general,EQS,,,
1,HF5371,HF,5371,commerce,business,KJB,Business studies: general,EQS,,,
3,HF5381,HF,5381,commerce,business,KJB,Business studies: general,EQS,,,
1,HF5383,HF,5383,commerce,business,KJB,Business studies: general,EQS,,,
12,HF5386,HF,5386,commerce,business,KJB,Business studies: general,EQS,,,
3,HF5387,HF,5387,commerce,business,KJB,Business studies: general,EQS,,,
1,HF5389,HF,5389,commerce,business,KJB,Business studies: general,EQS,,,
1,HF5389.3.C6,HF,5389,commerce,business,KJB,Business studies: general,EQS,,,
6,HF5410,HF,5410,commerce,marketing,KJS,Sales and marketing,EQB,,,
1,HF5412,HF,5412,commerce,marketing,KJS,Sales and marketing,EQB,,,
66,HF5415,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
1,HF5415.12.C94,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
1,HF5415.12.E85,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
1,HF5415.12.J3,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
15,HF5415.123,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
1,HF5415.125,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
1,HF5415.1255,HF,5415,commerce,marketing,KJSC,Brands and branding,EQB,,,
3,HF5415.126,HF,5415,commerce,marketing,KJSJ,Direct marketing / telemarketing,EQB,,,
6,HF5415.1263,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
63,HF5415.1265,HF,5415,commerce,marketing,KJSJ,Direct marketing / telemarketing,EQB,,,
2,HF5415.127,HF,5415,commerce,marketing,KJS,Sales and marketing,EQB,,,
26,HF5415.13,HF,5415,commerce,marketing management,KJMV7,Sales and marketing management,EQS,,,
6,HF5415.15,HF,5415,commerce,marketing management,KJMV7,Sales and marketing management,EQS,,,
6,HF5415.153,HF,5415,commerce,marketing management,KJMV7,Sales and marketing management,EQS,,,
3,HF5415.155,HF,5415,commerce,marketing management,KJMV7,Sales and marketing management,EQS,,,
4,HF5415.157,HF,5415,commerce,marketing management,KJMV7,Sales and marketing management,EQS,,,
5,HF5415.2,HF,5415,commerce,marketing research,KJSM,Market research,EQS,,,
1,HF5415.3,HF,5415,commerce,marketing research,KJSM,Market research,EQS,,,
3,HF5415.32,HF,5415,commerce,marketing research,KJSM,Market research,EQS,,,
1,HF5415.335,HF,5415,commerce,marketing research,KJSM,Market research,EQS,,,
3,HF5415.5,HF,5415,commerce,Customer services,KJSU,Customer services,EQT,,,
1,HF5415.525,HF,5415,commerce,Customer services,KJSU,Customer services,EQT,,,
1,HF5415.55,HF,5415,commerce,Customer services,KJSU,Customer services,EQT,,,
2,HF5415.7,HF,5415,commerce,marketing,KNP,Retail and wholesale industries,BT,,,
3,HF5416,HF,5416,commerce,marketing,KNP,Retail and wholesale industries,BT,,,
1,HF5416.5,HF,5416,commerce,marketing,KNP,Retail and wholesale industries,BT,,,
1,HF5429,HF,5429,commerce,retail trade,KNP,Retail and wholesale industries,BT,,,
1,HF5429.23,HF,5429,commerce,retail trade,KNP,Retail and wholesale industries,BT,,,
1,HF5429.25,HF,5429,commerce,retail trade,KNP,Retail and wholesale industries,BT,,,
1,HF5430,HF,5430,commerce,shopping centers,KNP,Retail and wholesale industries,BT,,,
2,HF5437,HF,5437,commerce,purchasing,KJMV8,Purchasing and supply management,EQB,,,
2,HF5438.25,HF,5438,commerce,selling,KJS,Sales and marketing,BT,,,
1,HF5438.5,HF,5438,commerce,selling,KJS,Sales and marketing,BT,,,
3,HF5438.8.P75,HF,5438,commerce,selling,KJS,Sales and marketing,BT,,,
1,HF5439.5,HF,5439,commerce,selling,KJS,Sales and marketing,BT,,,
1,HF5439.C42,HF,5439,commerce,selling,KJS,Sales and marketing,BT,,,
1,HF5439.C67,HF,5439,commerce,selling,KJS,Sales and marketing,BT,,,
1,HF5439.G43,HF,5439,commerce,selling,KJS,Sales and marketing,BT,,,
1,HF5439.V3,HF,5439,commerce,selling,KJS,Sales and marketing,BT,,,
4,HF5469.7,HF,5469,commerce,convenience stores,KJS,Sales and marketing,BBT,,,
1,HF5470,HF,5470,commerce,market,KJS,Sales and marketing,BBT,,,
1,HF5485,HF,5485,commerce,warehouse,KNP,Retail and wholesale industries,BT,,,
1,HF5500,HF,5500,commerce,business,KNP,Retail and wholesale industries,BT,,,
2,HF5521,HF,5521,commerce,office equipment,KJWF,Office systems and equipment,EQB,,,
1,HF5541.T4,HF,5541,commerce,office equipment,KJWF,Office systems and equipment,EQB,,,
2,HF5547,HF,5547,commerce,office management,KJWB,Office management,EQT,,,
4,HF5547.5,HF,5547,commerce,office management,KJWB,Office management,EQT,,,
6,HF5547.A2,HF,5547,commerce,office management,KJWB,Office management,EQT,,,
1,HF5548,HF,5548,commerce,office management,KJWB,Office management,EQT,,,
7,HF5548.125,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
32,HF5548.2,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
42,HF5548.32,HF,5548,commerce,electronic commerce,KJE,E-commerce: business aspects,EQT,,,
1,HF5548.323.O73,HF,5548,commerce,electronic commerce,KJE,E-commerce: business aspects,EQT,,,
1,HF5548.323.W67,HF,5548,commerce,electronic commerce,KJE,E-commerce: business aspects,EQT,,,
1,HF5548.325.C6,HF,5548,commerce,electronic commerce,KJE,E-commerce: business aspects,EQT,,,
1,HF5548.33,HF,5548,commerce,electronic commerce,KJE,E-commerce: business aspects,EQT,,,
1,HF5548.35,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
6,HF5548.37,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
1,HF5548.38.O64,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
1,HF5548.4.C,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
3,HF5548.4.C35,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
3,HF5548.4.I25,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
13,HF5548.4.L67,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
2,HF5548.4.L673,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
6,HF5548.4.L692,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
178,HF5548.4.M523,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
76,HF5548.4.M525,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
30,HF5548.4.M5255,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
12,HF5548.4.M53,HF,5548,commerce,data processing,KJE,E-commerce: business aspects,NT,,,
